codigo,fecha,variable,valor
AGUA-01,2026-09-12 21:50:57,conductividad_us_cm,1116
AGUA-01,2026-09-12 21:50:57,temperatura_agua_c,17.62
AGUA-01,2026-09-12 21:50:57,voltaje_v,12.37
AGUA-01,2026-09-12 21:50:57,senal_csq,29
AGUA-01,2026-09-12 21:50:57,temperatura_sistema_c,18.75
AGUA-02,2026-09-12 21:56:54,ph,9.26
AGUA-02,2026-09-12 21:56:54,conductividad_us_cm,870.7
AGUA-02,2026-09-12 21:56:54,temperatura_agua_c,16.69
AGUA-02,2026-09-12 21:56:54,voltaje_v,12.16
AGUA-02,2026-09-12 21:56:54,senal_csq,23
AGUA-02,2026-09-12 21:56:54,temperatura_sistema_c,20
AGUA-03,2026-09-12 18:34:10,ph,12.74
AGUA-03,2026-09-12 18:34:10,conductividad_us_cm,1018
AGUA-03,2026-09-12 18:34:10,temperatura_agua_c,18.12
AGUA-03,2026-09-12 18:34:10,voltaje_v,12.34
AGUA-03,2026-09-12 18:34:10,senal_csq,7
AGUA-03,2026-09-12 18:34:10,temperatura_sistema_c,31.75
AGUA-03,2026-09-12 18:34:10,oxigeno_disuelto_mg_l,0
URA-01,2026-09-12 22:06:39,voltaje_v,11.04
URA-01,2026-09-12 22:06:39,senal_csq,22
URA-01,2026-09-12 22:06:39,temperatura_sistema_c,17.75
URA-01,2026-09-12 22:06:39,ph,6.9
URA-01,2026-09-12 22:06:39,temperatura_agua_c,13.8
URA-01,2026-09-12 22:06:39,conductividad_us_cm,100
